Calibrating	
165.22	165.16
165.23	165.15
176.57	802.75
172.78	172.78
206.81	206.98
323.99	323.89
376.91	376.9
384.48	384.65
384.5	384.69
384.51	384.42
384.52	384.62
384.55	384.64
384.55	384.67
384.56	384.58
384.55	384.49
384.55	384.75
384.55	384.43
384.54	384.38
384.54	384.56
384.53	384.51
384.53	384.5
384.55	384.75
384.55	384.47
384.55	384.59
384.56	384.49
384.55	384.62
384.56	384.61
384.55	384.62
384.56	384.56
384.56	384.37
384.55	384.41
384.55	384.4
384.55	384.54
384.56	384.57
384.56	384.63
384.57	384.62
384.57	384.42
384.56	384.5
384.57	384.72
384.58	384.7
384.57	384.38
384.58	384.57
384.58	384.54
384.58	384.5
384.58	384.59
384.57	384.44
384.57	384.56
384.57	384.56
384.57	384.55
384.57	384.53
384.57	384.56
358.11	-915.9
335.41	335.25
308.93	308.73
259.79	259.81
233.32	233.25
165.28	-1728.38
165.29	165.37
165.29	165.16
165.29	165.27
165.29	165.33
165.3	165.5
165.32	165.53
165.31	165.41
165.31	165.12
165.3	165.2
165.31	165.25
165.31	165.35
165.3	165.02
165.3	165.18
165.3	165.31
165.3	165.31
165.31	165.33
165.3	165.17
165.3	165.35
165.31	165.27
165.31	165.39
165.31	165.3
165.3	165.24
165.3	165.43
165.3	165.44
165.29	165.28
165.29	165.22
165.3	165.45
165.31	165.49
165.31	165.24
165.31	165.21
165.3	165.22
165.31	165.37
165.31	165.26
165.3	165.22
165.29	165.07
165.3	165.39
165.31	165.45
165.3	165.24
165.3	165.51
165.31	165.35
165.3	165.23
165.3	165.19
165.29	165.24
165.29	165.36
165.29	165.33
165.28	165.23
165.27	165.16
165.27	165.17
165.27	165.16
165.26	164.92
165.25	165.29
165.24	165.19
165.24	165.36
165.24	165.21
165.24	165.34
165.24	165.33
165.24	165.06
165.23	165.04
165.21	165.03
165.21	165.15
165.22	165.17
165.23	165.27
165.23	165.24
165.23	165.35
165.23	165.34
165.24	165.32
165.25	165.23
165.26	165.3
165.26	165.17
165.26	165.3
165.26	165.3
165.26	165.22
165.27	165.35
165.27	165.22
165.27	165.36
165.27	165.35
165.28	165.45
165.29	165.37
165.3	165.29
176.65	387.1
184.2	184.1
195.55	195.62
218.22	218.12
222.01	222.08
252.26	1088.12
271.17	271.27
290.07	290.15
339.21	339.28
384.56	384.48
384.56	384.64
384.58	384.79
384.59	384.58
384.58	384.52
384.57	384.57
384.58	384.66
384.58	384.64
384.58	384.5
384.58	384.45
384.58	384.56
384.58	384.67
384.58	384.62
384.58	384.67
384.58	384.55
384.58	384.67
384.59	384.68
384.6	384.64
384.61	384.64
384.6	384.74
384.6	384.53
384.59	384.6
384.6	384.81
384.62	384.75
384.62	384.59
384.63	384.78
384.63	384.6
384.64	384.7
384.64	384.76
384.64	384.58
384.64	384.55
384.65	384.69
384.65	384.67
384.65	384.79
384.66	384.8
384.66	384.65
384.66	384.78
384.67	384.76
384.66	384.7
384.66	384.61
384.65	384.68
384.65	384.59
384.66	384.73
384.66	384.7
384.66	384.61
384.67	384.81
384.67	384.72
384.67	384.56
384.67	384.68
384.67	384.63
384.67	384.75
384.68	384.7
384.67	384.75
384.68	384.73
384.68	384.73
384.67	384.57
384.67	384.74
384.66	384.84
384.66	384.75
384.67	384.81
384.67	384.71
384.68	384.68
384.66	384.39
384.64	384.68
384.63	384.6
384.62	384.67
384.62	384.62
384.62	384.62
384.61	384.54
384.6	384.56
384.59	384.59
384.58	384.55
384.58	384.66
384.59	384.79
384.58	384.46
384.56	384.42
384.54	384.44
384.54	384.44
384.54	384.56
384.55	384.69
384.55	384.68
384.56	384.61
384.56	384.47
384.56	384.61
384.56	384.45
384.55	384.52
384.54	384.44
376.98	377.12
373.2	373.26
365.64	-56.59
361.86	362.04
354.31	354.34
350.53	350.61
342.97	343.03
331.63	-92.62
324.07	324.1
324.07	324.19
316.5	316.48
305.15	305.16
293.81	84.32
286.25	286.28
282.46	282.47
274.9	65.65
271.11	271.15
267.33	267.23
263.54	263.56
263.55	263.47
256	47.02
252.22	252.37
248.45	248.41
240.89	240.95
237.1	237.05
225.75	14.98
221.97	221.93
225.75	225.65
210.62	-213.95
203.06	203.06
195.49	195.42
191.71	191.75
187.94	187.96
176.6	-243.64
172.83	172.99
172.84	172.82
165.28	165.33
165.29	165.47
165.28	165.23
165.27	165.11
165.27	165.31
165.28	165.19
165.26	165
165.26	165.2
165.26	165.18
165.26	165.21
165.26	165.19
165.26	165.35
165.26	165.37
165.27	165.31
165.27	165.3
165.27	165.2
165.28	165.28
165.28	165.29
165.29	165.41
165.29	165.32
165.29	165.52
165.3	165.33
165.29	165.27
165.29	165.28
165.29	165.41
165.28	165.17
165.28	165.28
165.28	165.32
165.29	165.18
165.28	165.14
165.29	165.21
165.28	165.25
165.29	165.19
165.28	165.33
165.29	165.43
165.29	165.24
165.29	165.26
165.28	165.29
165.28	165.4
165.29	165.39
165.29	165.29
165.29	165.37
165.29	165.41
165.28	165.16
165.28	165.31
165.28	165.19
165.28	165.33
161.5	161.54
165.29	165.16
165.29	165.27
165.28	165.15
165.27	165.04
165.27	165.29
165.27	165.29
176.61	600.2
176.6	176.52
184.15	184.18
210.62	210.59
225.74	225.82
335.36	4345.08
384.5	384.67
384.5	384.66
384.5	384.32
384.5	384.39
384.51	384.66
384.52	384.56
384.52	384.54
384.51	384.5
384.51	384.57
384.51	384.53
384.5	384.43
384.49	384.25
384.49	384.3
384.49	384.47
384.48	384.49
384.48	384.39
384.48	384.49
384.49	384.51
384.49	384.55
384.49	384.57
384.5	384.47
384.51	384.54
384.5	384.3
384.5	384.31
384.5	384.47
384.51	384.57
384.5	384.49
384.51	384.55
384.51	384.63
384.51	384.58
384.5	384.33
384.51	384.62
384.51	384.49
384.52	384.71
384.54	384.54
384.54	384.58
384.53	384.41
384.53	384.43
384.53	384.5
384.53	384.41
384.54	384.68
384.53	384.42
384.54	384.6
384.54	384.44
384.56	384.69
384.57	384.64
384.57	384.43
384.57	384.64
384.59	384.73
384.59	384.64
384.59	384.61
384.58	384.47
384.57	384.57
384.57	384.64
384.56	384.57
384.56	384.8
384.55	384.42
384.55	384.37
384.56	384.67
384.56	384.54
384.55	384.51
384.54	384.59
384.53	384.35
384.53	384.65
384.54	384.82
384.55	384.57
384.56	384.52
384.56	384.56
384.55	384.47
384.55	384.53
384.55	384.68
384.56	384.53
384.55	384.57
384.55	384.54
384.56	384.64
384.55	384.41
384.56	384.57
384.55	384.46
384.54	384.6
384.54	384.49
384.54	384.68
384.54	384.53
384.52	384.29
384.5	384.57
384.52	384.82
384.54	384.76
384.56	384.59
384.56	384.64
384.54	384.48
384.55	384.67
384.56	384.62
384.57	384.68
384.56	384.53
384.56	384.59
369.44	-257.93
358.1	358.26
358.09	358.11
342.97	-73.43
331.63	331.49
327.86	327.91
308.96	309
301.38	301.23
297.59	297.57
297.58	297.47
301.35	301.2
301.34	301.38
297.57	297.39
293.8	293.74
290.02	290.09
286.24	286.11
278.65	278.51
274.87	275.13
278.66	278.66
278.66	278.72
278.68	278.77
278.67	278.33
282.44	282.2
278.65	278.78
278.65	278.61
278.65	278.61
278.65	278.41
278.64	278.63
278.64	278.56
278.64	278.63
278.64	278.77
278.63	278.71
278.63	278.55
278.63	278.59
278.63	278.73
278.63	278.65
278.64	278.56
278.64	278.51
278.66	278.98
278.68	278.71
278.68	278.65
278.68	278.5
278.67	278.51
278.68	278.67
278.69	278.67
278.68	278.58
278.68	278.49
278.68	278.61
278.68	278.78
274.91	64.55
278.7	278.74
278.71	278.69
278.71	278.71
278.71	278.58
278.7	278.56
278.71	278.64
278.71	278.73
278.71	278.89
278.72	278.79
278.72	278.58
278.72	278.91
278.73	278.82
278.72	278.44
278.71	278.57
278.71	278.64
278.7	278.69
278.71	278.74
278.71	278.52
278.71	278.64
278.7	278.73
278.71	278.88
278.71	278.54
278.7	278.78
278.69	278.64
278.69	278.56
278.69	278.61
278.7	278.77
278.69	278.62
278.68	278.67
278.7	278.96
278.7	278.77
282.49	282.55
278.7	278.59
278.71	278.75
278.71	278.68
278.71	278.55
278.7	278.8
278.7	278.61
278.7	278.55
278.69	278.77
278.69	278.7
278.68	278.61
278.68	278.69
278.68	278.74
278.67	278.58
278.67	278.49
278.66	278.63
278.66	278.78
278.66	69.35
278.66	278.7
278.65	278.52
278.64	278.55
278.64	278.66
274.86	64.34
278.63	278.56
278.63	278.59
278.63	278.64
278.62	278.76
278.63	278.77
278.63	278.51
278.63	278.61
278.62	278.49
278.63	278.58
278.63	278.64
278.62	278.58
278.62	278.68
282.4	492.08
274.83	274.69
278.61	278.53
278.61	278.44
278.61	278.55
278.6	278.62
278.6	278.84
278.61	278.75
278.62	278.71
278.62	278.69
278.62	278.86
278.62	278.61
278.64	278.75
278.64	278.69
278.64	278.73
278.65	278.7
278.65	278.81
278.66	278.8
278.66	488.69
278.67	278.67
278.66	278.65
278.66	278.6
278.67	278.91
278.67	278.72
278.67	278.66
278.67	278.62
278.67	278.62
278.67	278.83
278.67	67.06
278.68	278.62
278.68	278.78
278.68	278.53
278.67	278.74
2	
